                    c             cloctime              csunzen             radiance                   tb
          6.000000000          4.434440136        113.480216980          0.150399998         95.675003052
          6.000000000          4.428890228        113.565460205          0.272700012        103.652999878
          6.000000000          4.429719925        113.553421021          0.186600000         98.436996460
          6.000000000          4.430560112        113.540733337          0.234400004        101.513999939
          6.000000000          4.431109905        113.529350281          0.228499994        101.162002563
          6.000000000          4.432219982        113.516349792          0.189500004         98.640998840
          6.000000000          4.432779789        113.504646301          0.172700003         97.428001404
          6.000000000          4.433609962        113.492286682          0.222000003        100.769996643
          6.000000000          4.434440136        113.480262756          0.249100000        102.361999512
          6.000000000          4.435279846        113.467910767          0.203999996         99.623001099
          6.000000000          4.428890228        113.565521240          0.211500004        100.108001709
          6.000000000          4.429719925        113.553482056          0.186600000         98.436996460
          6.000000000          4.430560112        113.540786743          0.158399999         96.330001831
          6.000000000          4.431109905        113.529411316          0.198200002         99.236000061
          6.000000000          4.432219982        113.516403198          0.189500004         98.640998840
          6.000000000          4.432779789        113.504699707          0.172700003         97.427001953
          6.000000000          4.433609962        113.492340088          0.164000005         96.767997742
          6.000000000          4.434440136        113.480323792          0.206799999         99.803001404
          6.000000000          4.435279846        113.467956543          0.146699995         95.362998962
          6.000000000          4.428890228        113.565567017          0.165600002         96.891998291
          6.000000000          4.429719925        113.553543091          0.171700001         97.352996826
          6.000000000          4.430560112        113.540847778          0.158399999         96.329002380
          6.000000000          4.431109905        113.529457092          0.152799994         95.880996704
          6.000000000          4.432219982        113.516456604          0.189500004         98.639999390
          6.000000000          4.432779789        113.504753113          0.187000006         98.463996887
          6.000000000          4.433609962        113.492393494          0.120399997         92.980003357
          6.000000000          4.434440136        113.480361938          0.220899999        100.694999695
          6.000000000          4.435279846        113.468009949          0.160999998         96.531997681
          6.000000000          4.428890228        113.565628052          0.134900004         94.339996338
          6.000000000          4.429719925        113.553588867          0.216499999        100.421997070
          6.000000000          4.430560112        113.540901184          0.143199995         95.074996948
          6.000000000          4.431109905        113.529510498          0.243499994        102.053001404
          6.000000000          4.432219982        113.516510010          0.174500003         97.566001892
          6.000000000          4.432779789        113.504798889          0.215599999        100.369003296
          6.000000000          4.433609962        113.492439270          0.164000005         96.766998291
          6.000000000          4.434440136        113.480407715          0.150399998         95.672996521
          6.000000000          4.435279846        113.468063354          0.160999998         96.530998230
